appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
606370,Romancing SaGa 2,2017-12-15,1,Square Enix;ArtePiazza,Square Enix,windows,7,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,RPG,RPG;JRPG;Pixel Graphics,42,72,50,0,0,0-20000,19.99
609150,STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster,2017-11-28,1,Square Enix;tri-Ace,Square Enix,windows,12,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,RPG;Action;JRPG,46,503,223,0,0,50000-100000,15.99
611500,Quake Champions,2017-08-22,1,id Software,Bethesda Softworks,windows,0,Online Multi-Player;Steam Achievements,Action;Free to Play;Early Access,Early Access;FPS;Arena Shooter,52,15879,7098,754,102,500000-1000000,0.0
611660,Fallout 4 VR,2017-12-11,1,Bethesda Game Studios,Bethesda Softworks,windows,18,Single-player;VR Support;SteamVR Collectibles,Violent;RPG,VR;Open World;Post-apocalyptic,50,2647,1162,161,216,100000-200000,39.99
611670,The Elder Scrolls V: Skyrim VR,2018-04-02,1,Bethesda Game Studios,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Full controller support;VR Support;SteamVR Collectibles;Steam Cloud,RPG,RPG;Open World;Singleplayer,75,2352,457,140,176,100000-200000,39.99
612880,Wolfenstein II: The New Colossus,2017-10-26,1,Machine Games,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action,Action;FPS;Gore,80,11732,4461,921,870,500000-1000000,39.99
613830,CHRONO TRIGGER®,2018-02-27,1,Square Enix,Square Enix,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,RPG,RPG;JRPG;Classic,13,1121,376,0,0,100000-200000,11.99
613880,Zoo Tycoon: Ultimate Animal Collection,2018-09-14,1,Frontier Developments;Asobo Studio,Microsoft Studios,windows,0,Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud,Simulation,Simulation;Management;Multiplayer,59,155,162,0,0,0-20000,14.99
614570,Dishonored®: Death of the Outsider™,2017-09-14,1,Arkane Studios,Bethesda Softworks,windows,18,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action,Stealth;Action;First-Person,30,2864,541,891,1159,200000-500000,19.99
619880,ATOMEGA,2017-09-19,1,"Reflections, a Ubisoft Studio",Ubisoft,windows,0,Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Multiplayer,31,609,189,237,384,20000-50000,8.59
629860,Spelunker Party!,2017-10-19,1,"Tozai Games, Inc.;O-TWO inc.",Square Enix,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure,Action;Adventure;Platformer,35,24,3,0,0,0-20000,23.99
630610,Disneyland Adventures,2018-09-14,1,Frontier Developments;Asobo Studio,Microsoft Studios,windows,0,Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Cloud,Adventure,Adventure;Family Friendly;Fantasy,49,56,10,0,0,0-20000,14.99
637650,FINAL FANTASY XV WINDOWS EDITION,2018-03-06,1,Square Enix,Square Enix,windows,16,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,RPG;Open World;JRPG,97,13789,4046,851,701,500000-1000000,34.99
637670,Secret of Mana,2018-02-15,1,Square Enix,Square Enix,windows,7,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;RPG,JRPG;RPG;Singleplayer,37,936,518,244,244,50000-100000,29.99
641080,Trials® Rising,2019-02-26,1,RedLynx,Ubisoft,windows,0,Single-player;Online Multi-Player;Co-op;Shared/Split Screen;Steam Trading Cards;In-App Purchases;Partial Controller Support,Racing,Racing;Bikes;Platformer,0,412,346,1281,1281,20000-50000,20.99
646910,The Crew™ 2,2018-06-28,1,Ivory Tower,Ubisoft,windows,0,Single-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases;Partial Controller Support,Action;Massively Multiplayer;Racing,Racing;Open World;Driving,34,4030,3916,2029,1685,200000-500000,49.99
647570,Transference™,2018-09-18,1,Ubisoft,Ubisoft,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie;VR,14,117,39,0,0,0-20000,20.99
648600,FINAL FANTASY XV WINDOWS EDITION MOD ORGANIZER,2018-06-07,1,Square Enix,Square Enix,windows,16,Single-player;Steam Workshop,Free to Play,Free to Play,0,12,14,0,0,20000-50000,0.0
650000,DOOM VFR,2017-11-30,1,id Software,Bethesda Softworks,windows,18,Single-player;Steam Achievements;VR Support;Steam Cloud,Violent;Gore;Action,Violent;Action;Gore,15,849,609,122,231,100000-200000,19.99
687260,Tokyo Dark,2017-09-07,1,Cherrymochi,Square Enix,windows,18,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Anime;Visual Novel;Female Protagonist,44,537,54,433,433,20000-50000,13.59
692360,Tales of Wedding Rings VR,2018-09-24,1,Square Enix,Square Enix,windows,0,Single-player,Casual,Casual;Anime;VR,0,23,5,0,0,0-20000,16.99
714370,LEFT ALIVE™,2019-03-05,1,Square Enix,Square Enix,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Action;Violent;Gore,49,99,394,0,0,0-20000,44.99
722230,L.A. Noire: The VR Case Files,2017-12-15,1,Rockstar Games,Rockstar Games,windows,0,Single-player,Violent;Action;Adventure,Adventure;Action;Violent,20,258,151,180,180,0-20000,24.99
731490,Crash Bandicoot™ N. Sane Trilogy,2018-06-29,1,Vicarious Visions;Iron Galaxy,Activision,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,3D Platformer;Remake;Classic,74,3555,237,3530,3530,100000-200000,34.99
741820,Prey: Typhon Hunter,2018-12-11,1,Arkane Studios,Bethesda Softworks,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Partial Controller Support,Action,Action;Multiplayer;VR,10,106,206,0,0,0-20000,0.0
742120,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,2018-09-04,1,Square Enix,Square Enix,windows,12,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,JRPG;RPG;Turn-Based Combat,58,3663,281,2622,2622,100000-200000,39.99
750920,Shadow of the Tomb Raider,2018-09-14,1,Eidos-Montréal;Crystal Dynamics;Nixxes software,Square Enix,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Adventure;Action;Lara Croft,99,10832,4408,672,733,500000-1000000,44.99
775430,Discovery Tour by Assassin’s Creed®: Ancient Egypt,2018-02-20,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Captions available;Partial Controller Support,Action;Adventure;RPG,Adventure;RPG;Action,0,66,18,0,0,0-20000,12.49
790540,THE QUIET MAN™,2018-11-01,1,Square Enix;Human Head Studios,Square Enix,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action,Violent;Action;FMV,13,118,236,0,0,0-20000,11.99
812140,Assassin's Creed® Odyssey,2018-10-05,1,Ubisoft Quebec;Ubisoft Montreal;Ubisoft Bucharest;Ubisoft Singapore;Ubisoft Montpellier;Ubisoft Kiev;Ubisoft Shanghai,Ubisoft,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,Action;Adventure;RPG,Open World;Action;RPG,82,20771,4528,3151,3581,1000000-2000000,49.99
845070,The Awesome Adventures of Captain Spirit,2018-06-25,1,DONTNOD Entertainment,Square Enix,windows,0,Single-player;Full controller support;Steam Cloud,Adventure;Free to Play,Free to Play;Story Rich;Choices Matter,0,8077,667,68,65,500000-1000000,0.0
847360,Super Lucky's Tale,2018-09-14,1,Playful Corp.,Microsoft Studios,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Adventure;Action;3D Platformer,58,139,20,0,0,20000-50000,14.99
847370,Sunset Overdrive,2018-11-16,1,Insomniac Games;Blind Squirrel Games,Microsoft Studios,windows,16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Adventure;Open World,80,2421,274,300,300,50000-100000,14.99
921590,DISSIDIA FINAL FANTASY NT Free Edition,2019-03-12,1,"Square Enix;KOEI TECMO GAMES CO., LTD.",Square Enix,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Free to Play,Free to Play;Action;Multiplayer,56,620,1005,285,289,200000-500000,0.0
939960,Far Cry® New Dawn,2019-02-15,1,Ubisoft Montreal;Ubisoft Kiev;Ubisoft Shanghai,Ubisoft,windows,0,Single-player;Online Co-op;Partial Controller Support,Action;Adventure,Open World;Action;FPS,0,2755,1161,1597,1827,100000-200000,37.99
965300,The Settlers® : Heritage of Kings - History Edition,2019-01-22,1,Ubisoft Blue Byte,Ubisoft,windows,0,Single-player;Online Multi-Player;Local Multi-Player,Strategy,Strategy;RTS;City Builder,0,19,13,0,0,0-20000,9.99
965310,The Settlers® : Rise of an Empire - History Edition,2019-01-22,1,Ubisoft Blue Byte,Ubisoft,windows,0,Single-player;Online Multi-Player;Local Multi-Player,Strategy,Strategy;City Builder,0,15,12,0,0,0-20000,9.99
965320,The Settlers® 7 : History Edition,2019-01-22,1,Ubisoft Blue Byte,Ubisoft,windows,0,Single-player;Online Multi-Player;Local Multi-Player,Strategy,Strategy,0,9,18,0,0,0-20000,12.49
